species,area_combo,year,area,n_stations,n_pos_catch,area_cpue,boot_area_cpue,boot_bias,boot_sd,boot_lci,boot_uci
Sleeper shark,FMP (without Inside waters),2000,GOA,688,197,0.006997446844841359,0.006998023445352841,5.766005114820824e-7,6.761869478215821e-4,0.005773637638467735,0.008478964049761933
Sleeper shark,FMP (without Inside waters),2001,BSAI,194,20,0.0014506455093960583,0.0014390612973757765,-1.1584212020281787e-5,3.362190891348278e-4,9.279216709848162e-4,0.002286489669860359
Sleeper shark,FMP (without Inside waters),2001,CAN,170,6,3.6119340426667157e-4,3.640140054539912e-4,2.8206011873196566e-6,1.4258394322432455e-4,1.2106719093248357e-4,7.235179002615682e-4
Sleeper shark,FMP (without Inside waters),2001,GOA,682,172,0.008311114191163092,0.008306916872278275,-4.1973188848170445e-6,8.065132200733412e-4,0.00688194337728534,0.010040874223873427
Sleeper shark,FMP (without Inside waters),2001,WC,84,0,0,0,0,0,0,0
Sleeper shark,FMP (without Inside waters),2002,BSAI,196,25,0.0016525253178853428,0.001628899493167556,-2.3625824717786893e-5,3.291584192776191e-4,0.001085368889414924,0.0024284279475635297
Sleeper shark,FMP (without Inside waters),2002,CAN,171,0,0,0,0,0,0,0
Sleeper shark,FMP (without Inside waters),2002,GOA,688,182,0.008746635816468529,0.00875348929513572,6.853478667190327e-6,8.146379501889442e-4,0.007306930076978437,0.010471854770917674
Sleeper shark,FMP (without Inside waters),2002,WC,84,1,1.1894692609812814e-4,1.199849295793169e-4,1.0380034811887658e-6,1.2153867067514579e-4,0,8.324224729639603e-4
Sleeper shark,FMP (without Inside waters),2003,BSAI,196,35,0.0023467100493386175,0.002357304094628686,1.0594045290068625e-5,3.894441478200292e-4,0.0016636300020294807,0.0032214973783099236
Sleeper shark,FMP (without Inside waters),2003,CAN,170,5,5.960988904215253e-5,6.071398857448635e-5,1.1040995323338196e-6,3.0046076354740774e-5,2.2313463954384068e-5,1.562767088209824e-4
Sleeper shark,FMP (without Inside waters),2003,GOA,696,169,0.008570211824678502,0.008580410154311316,1.0198329632813558e-5,8.28006728213617e-4,0.007179159508412124,0.010425330739637077
Sleeper shark,FMP (without Inside waters),2003,WC,84,3,4.7905206293708647e-4,4.8149924840917895e-4,2.4471854720924764e-6,2.866343156682557e-4,1.1906577055607968e-4,0.001557826892219751
Sleeper shark,FMP (without Inside waters),2004,BSAI,191,30,0.0019419162395070823,0.001938084851116077,-3.831388391005268e-6,4.0747504275485513e-4,0.001278738549143538,0.0029189598412772814
Sleeper shark,FMP (without Inside waters),2004,CAN,170,7,1.5757011870282277e-4,1.579874025195563e-4,4.17283816733522e-7,7.165754702499307e-5,6.020967180044695e-5,3.813168461351456e-4
Sleeper shark,FMP (without Inside waters),2004,GOA,679,127,0.00579837581159899,0.0057944077300800916,-3.9680815188984295e-6,6.813062445168478e-4,0.0046637158468824345,0.007460171162090944
Sleeper shark,FMP (without Inside waters),2004,WC,83,1,1.0063622219672771e-4,1.0466322743542025e-4,4.027005238692544e-6,1.0119389669730872e-4,0,5.03220611916264e-4
